寒雨连江夜入吴
落帆逗淮镇             
停舫临孤驿                
浩浩风起波                
冥冥日沉夕                
人归山郭暗                
雁下芦洲白                
独夜忆秦关                
听钟未眠客                
凄凄去亲爱                
泛泛入烟雾                
归棹洛阳人                
残钟广陵树                
今朝此为别                
何处还相遇                
世事波上舟                
沿洄安得住                
孤鸿海上来                
池潢不敢顾                
侧见双翠鸟                
巢在三珠树                
矫矫珍木巅                
得无金丸惧                    
美服患人指                
高明逼神恶                
今我游冥冥                
弋者何所慕
江南有丹橘                
经冬犹绿林                
岂伊地气暖                   
自有岁寒心                
可以荐嘉客                
奈何阻重深                
运命惟所遇                
循环不可寻                
徒言树桃李                
此木岂无阴                    
高卧南斋时                
开帷月初吐                
清辉澹水木              
演漾在窗户                
冉冉几盈虚              
澄澄变今古                
美人清江畔                
是夜越吟苦                
千里共如何                
微风吹兰杜                
下马饮君酒                
问君何所之                    
君言不得意                
归卧南山陲                
但去莫复问                
白云无尽时                
塔势如涌出                
孤高耸天宫                
登临出世界              
磴道盘虚空                
突兀压神州                
峥嵘如鬼工                
四角碍白日                
七层摩苍穹                
下窥指高鸟                
俯听闻惊风                
连山若波涛                
奔凑似朝东                
青槐夹驰道                
宫馆何玲珑                
秋色从西来                
苍然满关中                
五陵北原上               
万古青濛濛                
净理了可悟                
胜因夙所宗                
誓将挂冠去               
觉道资无穷                
燕草如碧丝              
秦桑低绿枝                
当君怀归日                
是妾断肠时                
春风不相识                
何事入罗帏                
岱宗夫如何                    
齐鲁青未了                
造化钟神秀                
阴阳割昏晓                
荡胸生曾云                
决眦入归鸟                
会当凌绝顶                
一览众山小                
北山白云里                
隐者自怡悦                
相望试登高                
心随雁飞灭                
愁因薄暮起                
兴是清秋发                
时见归村人                
沙行渡头歇                
天边树若荠                
江畔洲如月                
何当载酒来                
共醉重阳节                
绝顶一茅茨                
直上三十里                
扣关无僮仆              
窥室唯案几                
若非巾柴车                
应是钓秋水                
差池不相见                
黾勉空仰止                
草色新雨中                
松声晚窗里                
及兹契幽绝                
自足荡心耳                
虽无宾主意                
颇得清净理                
兴尽方下山                
何必待之子                
永日方戚戚                
出行复悠悠                
女子今有行                
大江溯轻舟                
尔辈苦无恃                
抚念益慈柔                
幼为长所育                
两别泣不休                
对此结中肠              
义往难复留                
自小阙内训                
事姑贻我忧                
赖兹托令门                
任恤庶无尤                
贫俭诚所尚                
资从岂待周                
孝恭遵妇道                
容止顺其猷                
别离在今晨                
见尔当何秋                
居闲始自遣                
临感忽难收                
归来视幼女                
零泪缘缨流                
吏舍跼终年                
出郊旷清曙                
杨柳散和风              
青山澹吾虑                
依丛适自憩                
缘涧还复去                
微雨霭芳原                
春鸠鸣何处                
乐幽心屡止                
遵事迹犹遽                
终罢斯结庐                
慕陶直可庶                
今朝郡斋冷                
忽念山中客                
涧底束荆薪                
归来煮白石                
欲持一瓢酒                
远慰风雨夕                
落叶满空山                
何处寻行迹                
兰叶春葳蕤                
桂华秋皎洁                
欣欣此生意                
自尔为佳节                
谁知林栖者                
闻风坐相悦                
草木有本心                
何求美人折
幽意无断绝                
此去随所偶                
晚风吹行舟                
花路入溪口                
际夜转西壑                
隔山望南斗                
潭烟飞溶溶                
林月低向后                
生事且弥漫                
愿为持竿叟                
斜阳照墟落                
穷巷牛羊归                
野老念牧童                
倚杖候荆扉                
雉雊麦苗秀               
蚕眠桑叶稀                
田夫荷锄至                
相见语依依                
即此羡闲逸                
怅然吟式微                
圣代无隐者                
英灵尽来归                
遂令东山客
不得顾采薇                
既至金门远                
孰云吾道非                
江淮度寒食                
京洛缝春衣                
置酒长安道               
同心与我违                
行当浮桂棹                
未几拂荆扉                
远树带行客                
孤村当落晖                
吾谋适不用                
勿谓知音稀                
暮从碧山下                
山月随人归                
却顾所来径                
苍苍横翠微                
相携及田家                
童稚开荆扉                
绿竹入幽径                
青萝拂行衣                
欢言得所憩                
美酒聊共挥                
长歌吟松风                
曲尽河星稀                
我醉君复乐                
陶然共忘机                
死别已吞声               
生别常恻恻                
江南瘴疠地                
逐客无消息                
故人入我梦                
明我长相忆                
恐非平生魂                
路远不可测                
魂来枫林青                
魂返关塞黑                
君今在罗网                
何以有羽翼                    
落月满屋梁                
犹疑照颜色                
水深波浪阔               
无使蛟龙得                
人生不相见                
动如参与商                
今夕复何夕                
共此灯烛光                
少壮能几时               
鬓发各已苍                
访旧半为鬼                
惊呼热中肠                
焉知二十载                
重上君子堂                
昔别君未婚                
儿女忽成行                
怡然敬父执                
问我来何方                
问答乃未已                
驱儿罗酒浆                
夜雨剪春韭                
新炊间黄粱                
主称会面难                
一举累十觞                
十觞亦不醉                
感子故意长                
明日隔山岳                
世事两茫茫                
山光忽西落                
池月渐东上                
散发乘夕凉                
开轩卧闲敞                
荷风送香气                
竹露滴清响                
欲取鸣琴弹                
恨无知音赏                
感此怀故人                
中宵劳梦想                
汲井漱寒齿                
清心拂尘服                
闲持贝叶书                
步出东斋读                
真源了无取                
妄迹世所逐                
遗言冀可冥                
缮性何由熟                
道人庭宇静                
苔色连深竹                
日出雾露馀                
青松如膏沐                
澹然离言说                
悟悦心自足                
客从东方来                
衣上灞陵雨                
问客何为来                
采山因买斧                
冥冥花正开                
飏飏燕新乳                
昨别今已春               
鬓丝生几缕                
兵卫森画戟                
宴寝凝清香                
海上风雨至                
逍遥池阁凉                
烦疴近消散                
嘉宾复满堂                
自惭居处崇                
未睹斯民康                
理会是非遣                
性达形迹忘                
鲜肥属时禁                
蔬果幸见尝                
俯饮一杯酒                
仰聆金玉章                
神欢体自轻                
意欲凌风翔                
吴中盛文史                
群彦今汪洋                
方知大藩地                
岂曰财赋疆                
清溪深不测               
隐处唯孤云                
松际露微月                
清光犹为君                
茅亭宿花影                
药院滋苔纹                
余亦谢时去                
西山鸾鹤群                
幽人归独卧  
滞虑洗孤清                
持此谢高鸟                
因之传远情                
日夕怀空意                
人谁感至精                    
飞沉理自隔                
何所慰吾诚                    
